seed,T,M,J,D,Nt,pi,sigma_xibar,sigma_eta,nll_strict_baseline,nll_strict_xibaronly,nll_strict_sparse,nll_adapt_baseline,nll_adapt_xibaronly,nll_adapt_sparse,eta_f1,eta_precision,eta_recall,beta_dist_baseline,r_dist_baseline,theta_dist_baseline,z_dist_baseline,beta_dist_xibar,r_dist_xibar,theta_dist_xibar,z_dist_xibar,beta_dist_sparse,r_dist_sparse,theta_dist_sparse,z_dist_sparse,step_beta,step_r,step_xibar,step_eta
123,15,20,15,2,2000,0.8,0.1,2,3.316966677,3.329303832,3.210681203,3.318571993,3.295206284,3.202697732,0.35483871,0.34375,0.366666667,0.911206583,0.904728536,31.29323977,3.940003602,0.891284248,0.724854181,30.87886208,4.635712707,0.719152413,0.787289218,31.00633847,3.685531405,1.00E-12,1.00E-12,0.2,0.3
124,15,20,15,2,2000,0.8,0.1,2,2.830861157,2.842914464,3.001497244,2.815572022,2.813772412,2.980917869,0.101694915,0.125,0.085714286,0.612436966,0.155290579,30.73811036,3.586268777,0.581498664,0.115518946,30.62679016,4.576510497,0.495441439,0.151316746,30.3387402,6.487436413,1.00E-12,1.00E-12,0.2,0.3
125,15,20,15,2,2000,0.8,0.1,2,2.253893843,2.205661093,2.323306123,2.200927975,2.209164987,2.321105628,0.348837209,0.306122449,0.405405405,1.842997183,0.874624262,31.26828919,8.859996293,1.804944299,0.857522585,31.28023603,10.66302505,1.890357862,0.833548942,30.48194952,10.04290949,1.00E-12,1.00E-12,0.2,0.3
126,15,20,15,2,2000,0.8,0.1,2,2.85513165,2.741580318,2.690047745,2.766409261,2.732005862,2.69115751,0.202898551,0.170731707,0.25,1.523940363,0.420011196,31.62879929,7.714863181,1.304392729,0.460585544,31.33311268,7.303885471,1.35024658,0.396643694,30.55269681,8.810240667,1.00E-12,1.00E-12,0.2,0.3
127,15,20,15,2,2000,0.8,0.1,2,3.604434172,3.679088345,3.473465403,3.640224026,3.574862136,3.460003811,0.31884058,0.407407407,0.261904762,0.998321636,0.469790312,31.97964492,4.242365654,1.252661039,0.498344211,31.68225721,5.38206338,0.393855252,0.347071847,30.82362445,5.989733642,1.00E-12,1.00E-12,0.2,0.3
123,15,20,15,2,2000,0.9,0.1,2,2.3415576,2.249184205,2.292758305,2.336862499,2.233738329,2.234115283,0.117647059,0.078431373,0.235294118,0.557364096,0.818492151,30.89981738,18.1564833,0.507310867,0.7751647,30.49346658,10.1654803,0.55918484,0.693407752,30.47718662,4.579989189,1.00E-12,1.00E-12,0.2,0.3
124,15,20,15,2,2000,0.9,0.1,2,2.821119306,2.736746055,3.023621211,2.82115812,2.698325189,2.965630321,0.358974359,0.318181818,0.411764706,0.536702113,0.157536085,30.49970588,12.43892613,0.470543674,0.106676462,30.44440896,6.040730183,0.564914292,0.170301893,30.60507132,9.994623823,1.00E-12,1.00E-12,0.2,0.3
125,15,20,15,2,2000,0.9,0.1,2,2.709415567,2.769038784,2.600093608,2.76660865,2.755952584,2.605654904,0.151515152,0.104166667,0.277777778,1.852459664,0.867367981,31.40654433,6.635587275,1.600631598,0.860413406,30.99326796,11.46318863,1.783042447,0.786033045,30.90255162,10.41282907,1.00E-12,1.00E-12,0.2,0.3
126,15,20,15,2,2000,0.9,0.1,2,2.881457725,2.754091579,2.400539879,2.684226757,2.744613018,2.37620056,0.269230769,0.2,0.411764706,1.551425635,0.397273493,31.64701136,8.965883527,1.730465094,0.357401881,31.16759301,5.72178756,1.501693939,0.360543388,31.27081487,5.668124649,1.00E-12,1.00E-12,0.2,0.3
127,15,20,15,2,2000,0.9,0.1,2,2.398168299,2.466137387,2.386115141,2.440489793,2.39677834,2.370891134,0.266666667,0.186046512,0.470588235,0.980009743,0.361659797,31.76080191,25.99801614,0.49820584,0.51413723,31.13379968,21.06048702,1.097251518,0.321254361,30.51293626,4.66030462,1.00E-12,1.00E-12,0.2,0.3
123,15,20,15,2,2000,0.95,0.1,2,2.702361425,2.532928835,2.526007858,2.622040981,2.519813146,2.492645454,0.260869565,0.166666667,0.6,0.662593685,0.799577055,30.8292674,2.929555985,0.762425209,0.779908309,30.92417822,4.431363294,0.505913149,0.76476699,30.93451976,3.783892287,1.00E-12,1.00E-12,0.2,0.3
124,15,20,15,2,2000,0.95,0.1,2,2.68450297,2.586987924,2.48378391,2.673081267,2.541045301,2.460653051,0.133333333,0.095238095,0.222222222,0.550602971,0.152855054,30.96807621,4.122482499,0.454206242,0.169910263,30.9237845,5.199695068,0.651391822,0.171441089,30.87080081,8.692162541,1.00E-12,1.00E-12,0.2,0.3
125,15,20,15,2,2000,0.95,0.1,2,2.432801076,2.498616485,2.387687538,2.411842697,2.429876445,2.365692685,0.255319149,0.181818182,0.428571429,2.028642715,0.87137188,31.03894277,7.118612077,2.009500586,0.830395751,30.94848592,6.114945786,1.965951254,0.80519815,31.09577075,8.469335391,1.00E-12,1.00E-12,0.2,0.3
126,15,20,15,2,2000,0.95,0.1,2,2.629723909,2.668142049,2.498130235,2.614322943,2.658452097,2.467117658,0.117647059,0.069767442,0.375,1.453674548,0.435104553,30.71797899,5.893070181,1.317351071,0.441428893,30.48056322,4.058398764,1.389196893,0.430899292,30.70270899,10.07418895,1.00E-12,1.00E-12,0.2,0.3
127,15,20,15,2,2000,0.95,0.1,2,2.659053981,2.70561119,2.700981055,2.622769834,2.681209252,2.644601772,0.071428571,0.047619048,0.142857143,0.602263645,0.516256877,30.84688426,3.742019625,0.83842255,0.504245144,30.58339321,1.916655192,0.723750075,0.532740987,30.83429778,5.094845273,1.00E-12,1.00E-12,0.2,0.3
